A & N Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra & Nagar Haveli,Daman & Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Miscellaneous,date
"1,10,314","76,78,110","2,64,766","33,58,720","86,07,110","2,85,640","59,01,876","83,290","98,314","42,49,118","4,42,339","1,32,69,427","50,21,542","20,48,775","28,12,550","35,42,691","1,13,51,062","75,72,660","1,30,679","28,367","96,75,450","1,84,00,557","3,99,135","3,95,157","2,65,606","2,25,133","65,45,385","2,24,480","43,31,088","1,40,80,570","1,79,424","72,77,828","49,35,543","11,10,591","1,55,01,696","22,59,267","1,12,78,440","17,22,460",2021-06-02
"1,10,997","77,83,529","2,72,795","33,92,200","87,62,804","2,91,534","59,05,382","85,627","1,00,106","42,87,731","4,48,098","1,34,27,146","50,92,260","20,60,033","28,41,054","35,79,293","1,15,92,270","77,21,315","1,34,121","29,382","1,00,38,819","1,86,12,983","4,01,826","3,97,435","2,67,025","2,27,781","66,16,809","2,27,735","43,61,990","1,41,66,855","1,79,599","75,44,779","50,26,935","11,16,702","1,58,69,421","22,76,549","1,15,11,500","17,23,677",2021-06-03
"1,11,498","81,28,796","2,84,306","34,28,393","89,38,004","2,96,949","59,11,330","88,283","1,01,422","43,23,413","4,55,963","1,36,63,544","51,47,720","20,75,437","28,67,361","36,44,852","1,18,89,838","78,78,459","1,37,687","30,367","1,03,95,417","1,89,40,778","4,12,336","4,00,160","2,71,065","2,29,598","67,00,223","2,30,476","44,12,261","1,42,88,985","1,79,775","77,83,926","51,22,466","11,23,271","1,62,42,637","23,01,283","1,17,89,618","17,24,441",2021-06-04
"1,11,961","82,15,573","2,94,099","34,66,499","90,77,246","3,02,559","59,15,463","90,999","1,05,911","43,66,392","4,67,373","1,39,00,202","51,99,851","20,88,829","28,94,604","37,28,811","1,21,90,088","80,46,801","1,40,354","31,303","1,07,91,179","1,92,51,016","4,21,326","4,02,269","2,72,303","2,29,807","67,72,575","2,34,681","44,64,974","1,44,27,646","1,79,854","79,13,888","52,60,886","11,27,414","1,66,07,371","23,37,978","1,20,83,132","17,25,285",2021-06-05
"1,11,969","82,75,784","2,98,065","34,87,964","91,75,179","3,04,610","59,47,825","90,999","1,06,388","43,81,431","4,73,993","1,41,10,492","52,19,312","20,90,059","29,08,199","38,02,739","1,23,14,441","80,96,639","1,40,358","32,074","1,09,17,343","1,93,31,541","4,21,435","4,02,277","2,72,304","2,30,387","67,85,482","2,37,177","44,99,267","1,44,91,952","1,80,005","79,60,545","53,77,158","11,28,411","1,66,25,016","23,61,977","1,21,98,576","17,25,400",2021-06-06
"1,12,476","84,08,633","3,05,911","35,32,489","92,67,055","3,07,859","59,80,265","93,806","1,09,292","44,15,335","4,84,965","1,43,37,549","52,67,430","21,01,788","29,29,158","38,58,263","1,25,87,116","82,88,579","1,42,933","33,294","1,12,90,689","1,95,59,193","4,33,393","4,03,754","2,76,294","2,39,503","69,30,830","2,42,308","45,40,077","1,45,87,044","1,80,250","80,16,934","55,39,018","11,32,250","1,70,55,927","23,95,248","1,24,82,843","17,25,996",2021-06-07
"1,12,875","84,49,909","3,11,171","35,88,430","93,49,563","3,09,316","60,04,099","96,506","1,12,538","44,41,272","4,95,213","1,45,60,225","53,08,737","21,14,235","29,51,221","39,11,567","1,28,15,591","84,88,444","1,44,363","34,567","1,13,51,568","1,97,48,461","4,40,356","4,04,751","2,79,876","2,49,337","70,58,166","2,47,905","45,96,510","1,47,23,621","1,80,911","80,60,098","57,04,303","11,35,563","1,74,71,652","24,28,067","1,27,30,150","17,25,996",2021-06-08
"1,13,196","86,27,811","3,16,900","36,22,048","95,24,795","3,11,657","60,20,857","98,673","1,15,288","44,67,395","5,03,758","1,47,87,186","53,92,205","21,22,847","29,73,516","39,68,097","1,30,45,252","86,22,255","1,46,102","35,731","1,17,03,033","2,00,07,070","4,51,274","4,05,604","2,83,167","2,59,990","71,77,475","2,53,231","46,25,706","1,51,79,151","1,84,523","81,07,953","58,86,806","11,37,676","1,78,64,149","24,65,354","1,29,48,388","17,26,826",2021-06-09
"1,14,083","88,75,588","3,21,595","36,92,774","97,04,625","3,13,830","60,30,719","1,01,062","1,17,785","45,17,655","5,11,201","1,50,03,482","55,05,857","21,30,836","30,02,894","40,32,279","1,32,75,211","87,59,501","1,48,627","36,514","1,18,69,735","2,01,99,896","4,56,059","4,07,946","2,87,688","2,67,970","72,18,256","2,59,104","46,48,958","1,55,13,737","1,92,499","81,46,496","60,57,522","11,40,843","1,82,70,797","25,15,088","1,31,35,205","17,27,657",2021-06-10
"1,14,829","90,66,361","3,26,434","37,66,639","98,72,064","3,19,653","60,36,342","1,05,158","1,23,242","45,78,721","5,16,651","1,52,38,444","55,97,402","21,40,648","30,33,379","41,18,741","1,35,71,091","88,65,165","1,51,773","37,711","1,18,90,392","2,04,04,510","4,63,537","4,17,657","2,90,811","2,76,976","72,88,993","2,64,593","47,00,630","1,59,56,804","2,05,108","82,03,122","62,59,168","11,42,891","1,87,05,919","25,57,107","1,33,53,003","17,28,480",2021-06-11
"1,15,686","92,31,093","3,31,398","38,37,392","1,00,20,239","3,25,378","60,48,340","1,09,948","1,30,273","46,33,790","5,23,488","1,54,92,980","56,73,819","21,51,461","30,64,681","42,05,847","1,38,46,875","89,28,702","1,53,676","39,097","1,19,44,203","2,06,46,972","4,65,952","4,26,960","2,91,725","2,80,485","73,36,124","2,71,500","47,92,448","1,62,55,404","2,13,666","84,86,924","64,63,957","11,46,919","1,91,41,183","25,89,789","1,35,46,001","17,29,086",2021-06-12
"1,15,688","93,06,916","3,35,535","38,78,327","1,01,06,377","3,29,275","60,52,670","1,10,018","1,30,516","46,45,751","5,40,700","1,56,97,737","57,04,961","21,51,620","30,93,150","42,99,448","1,39,43,769","89,74,431","1,53,677","39,686","1,19,79,616","2,07,27,966","4,66,390","4,28,457","2,91,725","2,83,720","73,44,019","2,73,909","48,25,739","1,63,63,858","2,13,698","86,91,807","66,11,795","11,47,923","1,91,60,094","26,20,670","1,35,98,946","17,29,088",2021-06-13
"1,31,036","1,19,29,606","4,14,576","48,06,482","1,20,18,966","4,05,014","72,12,530","1,22,063","1,44,818","60,88,651","6,38,579","2,02,70,296","67,69,726","25,87,593","36,76,105","50,97,806","1,69,55,711","1,12,12,878","1,91,052","46,759","1,39,29,901","2,59,09,023","5,37,827","5,03,153","3,44,044","3,36,052","89,75,062","3,26,786","56,97,767","1,97,02,073","2,73,492","1,08,42,928","79,54,551","16,60,575","2,29,56,010","33,19,176","1,76,40,004","32,20,630",
"1,16,624","96,68,857","3,41,767","39,33,962","1,02,02,989","3,36,021","60,66,094","1,14,631","1,31,087","46,87,323","5,59,749","1,59,60,073","57,87,413","21,78,527","31,45,764","43,80,350","1,42,02,383","91,40,193","1,55,033","40,876","1,24,41,146","2,09,95,275","4,72,041","4,42,075","3,04,944","2,97,138","73,98,819","2,80,716","49,25,386","1,65,41,044","2,26,651","89,64,448","68,00,786","11,64,324","1,95,76,091","26,70,335","1,37,86,129","17,29,682",2021-06-14
"1,17,533","97,48,174","3,46,913","39,79,279","1,02,63,321","3,42,716","60,95,907","1,18,620","1,33,757","47,15,919","5,77,748","1,61,89,423","58,48,993","22,22,368","31,92,197","44,36,818","1,43,82,774","92,90,317","1,55,921","41,774","1,24,84,938","2,11,98,464","4,76,539","4,55,932","3,20,683","3,09,192","74,90,444","2,85,981","49,75,658","1,66,27,520","2,42,475","90,86,953","69,59,296","11,84,687","1,99,53,946","27,04,226","1,39,94,245","17,30,270",2021-06-15
"1,18,493","97,76,531","3,59,690","40,12,662","1,07,57,397","3,48,773","61,44,376","1,21,931","1,36,216","47,52,339","5,92,498","1,64,11,386","59,03,976","22,62,289","32,26,456","44,95,466","1,45,54,319","93,67,028","1,57,066","42,755","1,27,97,703","2,13,91,791","4,82,392","4,69,938","3,41,314","3,20,388","76,11,193","2,98,786","50,49,433","1,66,72,209","2,57,427","94,19,536","71,29,534","12,12,328","2,02,92,946","27,24,296","1,41,04,949","17,30,270",2021-06-16
